My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-221,-114,-3,67,107,119
0.9a,-267,-105,-2,64,101,113
0.8a,-242,-99,-1,61,95,106
0.7a,-221,-91,0,58,89,99
0.6a,-202,-81,2,54,82,91
0.5a,-182,-70,4,49,73,81
0.4a,-158,-57,5,43,63,69
0.3a,-129,-43,6,35,50,55
0.2a,-94,-29,6,25,36,39
0.1a,-51,-14,4,14,19,20
BOT.,0,0,0,0,0,0
