My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-77,-28,4,20,26,28
0.9a,-82,-25,4,18,24,26
0.8a,-74,-22,5,17,22,24
0.7a,-67,-19,6,16,20,21
0.6a,-61,-15,6,14,17,18
0.5a,-53,-11,6,12,14,14
0.4a,-44,-7,5,8,9,9
0.3a,-32,-4,3,4,3,3
0.2a,-18,-3,-1,-2,-4,-4
0.1a,-6,-3,-6,-9,-12,-12
BOT.,0,-5,-13,-18,-21,-22
