Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-20,0,0,0,0,0
0.9a,-20,-2,2,3,3,3
0.8a,-17,-1,5,6,5,5
0.7a,-15,0,6,9,5,5
0.6a,-13,2,6,5,2,1
0.5a,-11,2,4,-1,-5,-6
0.4a,-9,1,-3,-12,-18,-20
0.3a,-6,-3,-16,-29,-37,-39
0.2a,-4,-12,-35,-53,-64,-67
0.1a,-1,-27,-63,-87,-99,-103
BOT.,0,-50,-101,-130,-145,-149
