Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-65,0,0,0,0,0
0.9a,-68,-18,1,11,17,18
0.8a,-61,-23,4,20,29,32
0.7a,-55,-21,8,28,39,43
0.6a,-49,-16,12,34,46,51
0.5a,-44,-11,17,38,51,55
0.4a,-37,-7,20,40,51,55
0.3a,-30,-2,22,38,48,51
0.2a,-22,2,20,32,39,42
0.1a,-12,3,14,20,24,25
BOT.,0,0,0,0,0,0
