My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-16,-3,2,5,5,5
0.8a,-30,-6,5,9,10,11
0.7a,-43,-9,7,13,14,15
0.6a,-53,-10,9,16,18,19
0.5a,-60,-10,10,17,19,20
0.4a,-61,-9,11,18,19,20
0.3a,-57,-7,11,16,18,18
0.2a,-46,-4,9,13,14,14
0.1a,-28,-1,5,7,8,8
BOT.,0,0,0,0,0,0
