Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-93,0,0,0,0,0
0.9a,-99,-22,3,16,23,25
0.8a,-87,-29,7,29,41,44
0.7a,-77,-27,13,39,54,53
0.6a,-68,-21,19,47,63,68
0.5a,-59,-14,24,51,67,72
0.4a,-49,-8,28,52,67,72
0.3a,-39,-2,28,49,61,65
0.2a,-28,3,25,40,49,51
0.1a,-15,4,17,24,29,30
BOT.,0,0,0,0,0,0
