Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-2,3,7,9,9,10
0.8a,-4,5,13,16,18,18
0.7a,-6,7,18,23,25,25
0.6a,-7,9,21,26,28,29
0.5a,-7,10,22,27,29,29
0.4a,-7,10,19,23,24,24
0.3a,-6,7,12,13,13,13
0.2a,-4,1,-1,-4,-5,-5
0.1a,-1,-11,-23,-28,-31,-31
BOT.,0,-31,-54,-63,-66,-66
