My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-61,-27,0,17,25,28
0.9a,-66,-25,1,16,24,26
0.8a,-62,-23,2,16,22,24
0.7a,-59,-20,3,15,21,22
0.6a,-55,-16,4,14,19,20
0.5a,-50,-13,5,12,16,16
0.4a,-42,-9,5,10,12,12
0.3a,-32,-5,3,6,6,6
0.2a,-19,-3,1,0,0,-1
0.1a,-6,-2,-4,-6,-8,-8
BOT.,0,-4,-10,-14,-16,-17
