My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-35,4,9,8,7,7
0.8a,-60,7,16,14,13,12
0.7a,-75,8,20,18,16,15
0.6a,-81,8,21,19,17,16
0.5a,-79,8,20,18,15,14
0.4a,-68,7,17,14,11,10
0.3a,-50,5,10,7,5,5
0.2a,-29,1,2,-1,-3,-3
0.1a,-8,-4,-8,-12,-13,-13
BOT.,0,-10,-19,-23,-25,-25
