Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,25,15,7,2,0
0.9a,0,23,14,6,2,0
0.8a,0,18,11,5,2,0
0.7a,0,11,7,3,1,0
0.6a,0,2,1,0,0,0
0.5a,0,5,4,2,1,0
0.4a,0,12,8,4,1,0
0.3a,0,16,10,4,1,0
0.2a,0,17,10,4,1,0
0.1a,0,12,7,3,1,0
BOT.,0,0,0,0,0,0
