Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,4,4,3,2,1,0
0.9a,4,4,3,2,1,0
0.8a,4,3,3,2,1,0
0.7a,3,3,3,2,1,0
0.6a,3,3,2,2,1,0
0.5a,2,2,1,1,1,0
0.4a,1,0,0,0,0,0
0.3a,1,1,1,1,0,0
0.2a,4,4,3,2,1,0
0.1a,7,7,6,4,2,0
BOT.,9,9,7,5,2,0
