My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-2,-1,0,1,1,1
0.8a,-4,-2,0,1,2,2
0.7a,-6,-3,0,2,3,3
0.6a,-8,-4,0,2,4,4
0.5a,-10,-5,0,3,5,5
0.4a,-12,-5,0,3,5,6
0.3a,-12,-5,0,3,5,6
0.2a,-11,-4,0,3,4,5
0.1a,-5,-2,0,1,2,2
BOT.,0,0,-1,-2,-2,-2
