Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-6,1,6,10,12,13
0.8a,-10,-1,7,14,17,19
0.7a,-12,-2,7,15,19,21
0.6a,-14,-3,7,15,20,21
0.5a,-14,-3,6,15,20,22
0.4a,-14,-3,7,15,20,21
0.3a,-12,-2,7,15,19,21
0.2a,-10,-1,7,14,17,19
0.1a,-6,1,6,10,12,13
BOT.,0,0,0,0,0,0
