Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,54,40,23,11,5,0
0.9a,50,38,22,11,4,0
0.8a,41,32,18,9,4,0
0.7a,29,23,13,7,3,0
0.6a,15,12,7,4,1,0
0.5a,0,0,0,0,0,0
0.4a,15,12,7,4,1,0
0.3a,29,23,13,7,3,0
0.2a,41,32,18,9,4,0
0.1a,50,38,22,11,4,0
BOT.,54,40,23,11,5,0
