My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-35,2,9,9,8,8
0.8a,-60,3,15,16,14,14
0.7a,-75,2,19,20,18,17
0.6a,-81,2,20,21,19,18
0.5a,-79,1,19,20,17,16
0.4a,-68,1,16,16,13,12
0.3a,-50,1,10,9,7,6
0.2a,-29,0,3,0,-2,-2
0.1a,-8,-3,-7,-10,-12,-13
BOT.,0,-8,-17,-22,-24,-24
