My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,0,3,5,6,6,6
0.8a,0,6,9,11,12,12
0.7a,0,8,13,15,16,17
0.6a,0,10,16,19,20,20
0.5a,0,11,18,21,22,22
0.4a,0,12,18,21,22,22
0.3a,0,12,17,19,20,20
0.2a,0,10,14,15,16,16
0.1a,0,6,8,9,9,9
BOT.,0,0,0,0,0,0
