Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,23,18,11,6,2,0
0.9a,22,18,10,5,2,0
0.8a,20,15,9,5,2,0
0.7a,16,12,7,3,1,0
0.6a,10,7,4,2,1,0
0.5a,3,2,0,0,0,0
0.4a,5,5,3,2,1,0
0.3a,13,11,6,3,1,0
0.2a,21,16,9,5,2,0
0.1a,27,20,11,5,2,0
BOT.,31,21,12,6,2,0
