Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,21,19,15,10,5,0
0.9a,20,18,14,10,5,0
0.8a,18,16,13,9,4,0
0.7a,14,13,10,7,3,0
0.6a,9,8,6,4,2,0
0.5a,3,3,2,1,0,0
0.4a,4,4,4,3,1,0
0.3a,11,11,9,6,3,0
0.2a,19,17,13,9,4,0
0.1a,25,22,17,11,5,0
BOT.,28,24,18,12,6,0
