Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-31,0,0,0,0,0
0.9a,-41,-8,2,7,10,11
0.8a,-37,-11,6,16,21,22
0.7a,-34,-9,11,24,31,33
0.6a,-31,-5,17,32,39,42
0.5a,-28,0,23,38,46,48
0.4a,-25,5,27,41,68,51
0.3a,-20,8,29,40,46,48
0.2a,-15,10,26,34,39,40
0.1a,-8,8,17,21,24,24
BOT.,0,0,0,0,0,0
