Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-16,0,0,0,0,0
0.9a,-17,-7,-1,3,5,5
0.8a,-16,-7,0,5,8,9
0.7a,-16,-6,1,7,10,11
0.6a,-15,-5,2,8,12,13
0.5a,-13,-4,3,9,13,14
0.4a,-11,-3,4,9,12,13
0.3a,-9,-2,3,7,9,9
0.2a,-5,-2,0,0,-1,-1
0.1a,-2,-4,-9,-15,-19,-21
BOT.,0,-8,-26,-42,-53,-56
