My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,0,2,4,5,6,6
0.8a,0,5,8,10,11,11
0.7a,0,7,11,14,16,16
0.6a,0,9,14,18,19,20
0.5a,0,10,16,20,22,22
0.4a,0,10,17,20,22,22
0.3a,0,10,16,19,20,20
0.2a,0,9,13,15,16,16
0.1a,0,5,8,9,9,9
BOT.,0,0,0,0,0,0
