My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-288,-90,3,57,85,94
0.9a,-226,-82,3,53,79,87
0.8a,-195,-74,3,49,72,79
0.7a,-170,-65,4,44,64,70
0.6a,-145,-54,4,37,55,60
0.5a,-119,-43,4,30,43,47
0.4a,-90,-32,3,22,30,33
0.3a,-60,-21,1,11,16,17
0.2a,-30,-12,-3,0,1,0
0.1a,-7,-6,-8,-12,-15,-17
BOT.,0,-5,-15,-24,-31,-33
