Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-8,0,0,0,0,0
0.9a,-11,-4,-1,1,2,3
0.8a,-11,-5,0,4,6,7
0.7a,-12,-4,2,7,11,12
0.6a,-12,-3,5,12,16,17
0.5a,-13,-2,8,16,20,22
0.4a,-12,0,11,19,24,26
0.3a,-11,1,13,21,25,27
0.2a,-9,3,13,19,23,24
0.1a,-5,3,9,13,15,16
BOT.,0,0,0,0,0,0
