My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-267,-83,21,66,84,89
0.9a,-317,-77,20,62,79,83
0.8a,-277,-70,20,58,73,77
0.7a,-244,-62,21,55,68,71
0.6a,-217,-52,21,50,62,65
0.5a,-190,-43,20,45,55,57
0.4a,-162,-32,19,39,47,49
0.3a,-131,-22,16,32,38,39
0.2a,-95,-13,13,23,27,28
0.1a,-25,-6,7,12,14,15
BOT.,0,0,0,0,0,0
