Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-109,0,0,0,0,0
0.9a,-132,-24,6,21,28,31
0.8a,-114,-34,12,37,50,54
0.7a,-99,-33,18,49,66,71
0.6a,-86,-26,25,58,77,82
0.5a,-74,-17,30,63,81,87
0.4a,-61,-9,34,63,80,85
0.3a,-48,-1,34,58,71,76
0.2a,-33,4,30,47,56,59
0.1a,-18,5,19,28,33,34
BOT.,0,0,0,0,0,0
