Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,37,34,27,19,10,0
0.9a,34,31,25,18,9,0
0.8a,27,25,21,15,8,0
0.7a,19,18,15,10,5,0
0.6a,10,9,8,5,3,0
0.5a,0,0,0,0,0,0
0.4a,10,9,8,5,3,0
0.3a,19,18,15,10,5,0
0.2a,27,25,21,15,8,0
0.1a,34,31,25,18,9,0
BOT.,37,34,27,19,10,0
