Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,68,70,53,28,0
0.9a,0,63,68,52,28,0
0.8a,0,63,68,53,28,0
0.7a,0,64,69,53,28,0
0.6a,0,63,69,53,28,0
0.5a,0,62,68,51,27,0
0.4a,0,58,64,48,25,0
0.3a,0,52,57,41,21,0
0.2a,0,41,44,32,16,0
0.1a,0,25,26,18,9,0
BOT.,0,0,0,0,0,0
