My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-9,-10,-2,4,8,10
0.9a,-19,-10,-2,5,9,11
0.8a,-23,-11,-1,6,11,12
0.7a,-28,-13,-1,7,12,14
0.6a,-32,-14,0,9,14,16
0.5a,-36,-15,0,10,15,17
0.4a,-38,-14,1,11,16,17
0.3a,-37,-12,2,10,15,16
0.2a,-32,-9,3,9,12,13
0.1a,-20,-4,2,5,7,7
BOT.,0,0,0,0,0,0
