Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,101,116,92,51,0
0.9a,0,92,110,90,50,0
0.8a,0,91,109,89,50,0
0.7a,0,94,112,92,51,0
0.6a,0,97,116,95,52,0
0.5a,0,101,122,99,54,0
0.4a,0,105,127,103,57,0
0.3a,0,110,133,107,59,0
0.2a,0,115,137,110,60,0
0.1a,0,118,140,112,61,0
BOT.,0,120,141,113,61,0
