Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-17,0,0,0,0,0
0.9a,-18,-3,2,4,5,5
0.8a,-16,-3,4,7,8,9
0.7a,-14,-2,6,10,11,11
0.6a,-13,0,7,10,10,10
0.5a,-11,1,7,7,5,5
0.4a,-9,1,3,-1,-4,-6
0.3a,-6,-1,-6,-14,-21,-23
0.2a,-4,-7,-21,-35,-45,-48
0.1a,-1,-17,-44,-65,-78,-82
BOT.,0,-35,-77,-106,-122,-127
