Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,13,14,11,6,0
0.9a,0,12,14,11,6,0
0.8a,0,11,12,9,5,0
0.7a,0,9,10,7,4,0
0.6a,0,6,6,4,2,0
0.5a,0,2,2,1,0,0
0.4a,0,2,3,3,2,0
0.3a,0,7,8,7,3,0
0.2a,0,12,13,10,5,0
0.1a,0,16,16,12,6,0
BOT.,0,18,18,13,6,0
