Along Midheight (y = a/2),,,,,,
b/a    /    x,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
4.0,0,3.50,5.30,6.10,6.30,6.40
3.0,0,2.80,4.60,5.50,6.00,6.10
2.5,0,2.30,4.00,5.10,5.60,5.70
2.0,0,1.90,3.30,4.30,4.90,5.10
1.75,0,1.60,2.29,3.80,4.40,4.50
1.5,0,1.30,2.40,3.20,3.70,3.90
1.25,0,1.00,1.90,2.50,2.90,3.00
1.0,0,0.70,1.20,1.70,1.90,2.00
0.75,0,0.30,0.60,0.90,1.00,1.00
0.5,0,0.10,0.20,0.30,0.30,0.30
