Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,27,34,28,16,0
0.9a,0,24,32,28,16,0
0.8a,0,24,32,28,16,0
0.7a,0,25,33,29,16,0
0.6a,0,27,36,30,17,0
0.5a,0,30,39,32,18,0
0.4a,0,34,42,35,19,0
0.3a,0,38,46,37,20,0
0.2a,0,43,49,38,21,0
0.1a,0,46,51,39,21,0
BOT.,0,47,51,40,21,0
