Along Midheight (y = a/2),,,,,,
b/a    /    x,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
4.0,0,29.90,84.90,134.90,167.90,179.30
3.0,0,12.40,36.50,59.60,75.40,80.90
2.5,0,7.00,20.80,34.50,43.90,47.20
2.0,0,3.40,10.20,17.10,21.90,23.60
1.75,0,2.20,6.60,11.00,14.20,15.30
1.5,0,1.30,3.90,6.60,8.50,9.20
1.25,0,0.70,2.10,3.50,4.60,4.90
1.0,0,0.30,0.90,1.60,2.10,2.30
0.75,0,0.10,0.30,0.60,0.70,0.80
0.5,0,0.00,0.10,0.10,0.10,0.20
