Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,0,5,9,11,13,13
0.8a,0,7,13,17,19,20
0.7a,0,8,15,19,22,23
0.6a,0,8,15,20,23,25
0.5a,0,8,15,21,24,25
0.4a,0,8,15,20,23,25
0.3a,0,8,15,19,22,23
0.2a,0,7,13,17,19,20
0.1a,0,5,9,11,13,13
BOT.,0,0,0,0,0,0
