My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,0,4,5,4,4,4
0.8a,0,8,9,9,8,8
0.7a,0,12,13,12,11,11
0.6a,0,15,16,15,13,13
0.5a,0,17,18,16,15,14
0.4a,0,17,18,16,15,15
0.3a,0,16,17,15,14,13
0.2a,0,13,13,12,11,11
0.1a,0,8,8,7,6,6
BOT.,0,0,0,0,0,0
