My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-39,-8,5,11,13,14
0.8a,-68,-16,8,19,24,25
0.7a,-89,-23,10,25,32,34
0.6a,-101,-28,11,29,37,39
0.5a,-105,-29,11,30,39,41
0.4a,-101,-28,11,29,37,39
0.3a,-89,-23,10,25,32,34
0.2a,-68,-16,8,19,24,25
0.1a,-39,-8,5,11,13,14
BOT.,0,0,0,0,0,0
