Along Midheight (y = a/2),,,,,,
b/a    /    x,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
4.0,0,4.60,9.30,11.60,12.40,12.70
3.0,0,3.10,7.20,9.90,11.30,11.70
2.5,0,2.40,5.90,8.50,10.00,10.50
2.0,0,1.60,4.30,6.60,8.00,8.40
1.75,0,1.20,3.40,5.30,6.60,7.00
1.5,0,0.90,2.50,4.00,5.00,5.30
1.25,0,0.50,1.60,2.60,3.30,3.50
1.0,0,0.30,0.80,1.40,1.80,1.90
0.75,0,0.10,0.30,0.50,0.70,0.70
0.5,0,0.00,0.10,0.10,0.20,0.20
