Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,26,32,26,15,0
0.9a,0,22,28,24,14,0
0.8a,0,23,28,24,14,0
0.7a,0,24,30,26,14,0
0.6a,0,25,32,27,15,0
0.5a,0,27,34,29,16,0
0.4a,0,28,35,29,16,0
0.3a,0,27,34,28,16,0
0.2a,0,24,29,24,13,0
0.1a,0,16,19,15,8,0
BOT.,0,0,0,0,0,0
