My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-34,-3,7,9,10,10
0.8a,-59,-7,11,17,18,18
0.7a,-74,-110,14,21,23,23
0.6a,-80,-12,14,23,25,25
0.5a,-78,-12,14,22,23,23
0.4a,-67,-10,12,18,19,19
0.3a,-50,-8,8,12,12,12
0.2a,-29,-5,3,3,3,2
0.1a,-8,-3,-4,-7,-9,-9
BOT.,0,-5,-12,-17,-20,-21
