My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-20,-18,-3,8,16,18
0.9a,-34,-17,-3,9,16,18
0.8a,-38,-18,-2,10,17,20
0.7a,-43,-19,-1,11,19,21
0.6a,-47,-19,0,13,20,22
0.5a,-50,-19,2,14,20,22
0.4a,-50,-17,3,14,20,22
0.3a,-47,-14,4,13,18,19
0.2a,-39,-10,4,11,14,15
0.1a,-23,-5,3,6,8,9
BOT.,0,0,0,0,0,0
