Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-2,1,4,6,8,8
0.8a,-4,2,8,12,15,16
0.7a,-6,3,11,17,21,22
0.6a,-7,4,14,21,24,25
0.5a,-7,5,15,22,25,26
0.4a,-7,5,14,19,22,22
0.3a,-6,4,10,12,13,13
0.2a,-4,1,1,-1,-2,-3
0.1a,-1,-6,-15,-22,-26,-27
BOT.,0,-19,-41,-54,-60,-62
