Along Midheight (y = a/2),,,,,,
b/a    /    x,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
4.0,0,2.60,6.20,8.70,10.10,10.50
3.0,0,1.60,4.20,6.40,7.70,8.10
2.5,0,1.10,3.10,4.80,6.00,6.30
2.0,0,0.70,2.00,3.20,4.00,4.30
1.75,0,0.50,1.50,2.40,3.00,3.20
1.5,0,0.40,1.00,1.70,2.10,2.30
1.25,0,0.20,0.60,1.10,1.40,1.50
1.0,0,0.10,0.30,0.60,0.70,0.80
0.75,0,0.00,0.10,0.20,0.30,0.30
0.5,0,0.00,0.00,0.00,0.00,0.00
