My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-15,-4,2,4,5,6
0.8a,-29,-8,3,8,10,11
0.7a,-41,-10,5,12,15,15
0.6a,-51,-12,7,15,18,19
0.5a,-57,-13,8,17,20,20
0.4a,-59,-12,9,17,20,21
0.3a,-55,-9,9,16,18,19
0.2a,-45,-6,8,12,14,15
0.1a,-27,-2,5,7,8,8
BOT.,0,0,0,0,0,0
