Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-177,0,0,0,0,0
0.9a,-199,-26,11,28,36,38
0.8a,-169,-39,21,50,64,67
0.7a,-14,-40,29,66,83,88
0.6a,-123,-33,37,77,96,101
0.5a,-104,-22,42,81,101,106
0.4a,-84,-12,45,80,97,103
0.3a,-65,-2,43,72,86,90
0.2a,-45,4,36,56,67,70
0.1a,-23,6,22,33,38,40
BOT.,0,0,0,0,0,0
