My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-130,-60,1,37,56,62
0.9a,-150,-56,2,36,53,59
0.8a,-140,-52,3,35,51,56
0.7a,-131,-47,5,34,48,53
0.6a,-124,-41,7,33,45,49
0.5a,-115,-34,9,31,41,44
0.4a,-104,-27,10,28,36,39
0.3a,-88,-19,10,23,30,32
0.2a,-66,-11,8,17,22,23
0.1a,-37,-5,5,10,12,12
BOT.,0,0,0,0,0,0
