My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-45,2,11,12,11,11
0.8a,-80,3,20,21,20,19
0.7a,-105,3,26,28,27,26
0.6a,-120,3,30,32,31,30
0.5a,-125,3,31,34,32,31
0.4a,-120,3,30,32,31,30
0.3a,-105,3,26,28,27,26
0.2a,-80,3,20,21,20,19
0.1a,-45,2,11,12,11,11
BOT.,0,0,0,0,0,0
