LOCATION   /   b/a,4.00,3.00,2.50,2.00,1.75,1.50,1.25,1.00,0.75,0.50
Bottom edge — midpoint,0.50,0.49,0.48,0.46,0.45,0.42,0.39,0.34,0.27,0.18
Side edge — maximum,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.34,0.30,0.23
Side edge -  midpoint,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.34,0.30,0.23
Top edge — midpoint,0.50,0.49,0.48,0.46,0.45,0.42,0.39,0.34,0.27,0.18
