Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,0.7a,0.8a,0.9a,TOP
4.0,0,4.00,7.60,10.40,12.20,12.80,12.20,10.40,7.60,4.00,0
3.0,0,3.80,7.30,9.90,11.60,12.20,11.60,9.90,7.30,3.90,0
2.5,0,3.60,6.80,9.40,10.90,11.50,10.90,9.40,6.80,3.60,0
2.0,0,3.20,6.00,8.20,9.60,10.10,9.60,8.20,6.00,3.20,0
1.75,0,2.90,5.40,7.40,8.70,9.10,8.70,7.40,5.40,2.90,0
1.5,0,2.50,4.60,6.30,7.40,7.70,7.40,6.30,4.60,2.50,0
1.25,0,1.90,3.60,4.90,5.70,6.00,5.70,4.90,3.60,1.90,0
1.0,0,1.30,2.50,3.30,3.90,4.10,3.90,3.30,2.50,1.30,0
0.75,0,0.70,1.30,1.70,2.00,2.10,2.00,1.70,1.30,0.70,0
0.5,0,0.20,0.40,0.50,0.60,0.60,0.60,0.50,0.40,0.20,0
