Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,1,1,2,1,0
0.9a,0,2,0,1,1,0
0.8a,0,2,1,0,0,0
0.7a,0,1,0,1,1,0
0.6a,0,0,1,2,1,0
0.5a,0,2,4,4,2,0
0.4a,0,4,7,6,4,0
0.3a,0,7,11,9,5,0
0.2a,0,12,14,12,7,0
0.1a,0,15,17,14,7,0
BOT.,0,17,19,14,8,0
