Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,0,23,34,40,42,43
0.8a,0,39,60,70,75,76
0.7a,0,49,77,91,98,100
0.6a,0,54,87,104,112,114
0.5a,0,56,90,108,116,118
0.4a,0,54,87,104,112,114
0.3a,0,49,77,91,98,100
0.2a,0,39,60,70,75,76
0.1a,0,23,34,40,42,43
BOT.,0,0,0,0,0,0
