My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-11,-1,2,3,3,3
0.8a,-21,-3,4,6,6,6
0.7a,-29,-3,6,8,8,8
0.6a,-34,-3,7,10,10,9
0.5a,-37,-3,8,10,10,9
0.4a,-35,-2,7,9,8,8
0.3a,-29,-1,6,6,5,5
0.2a,-18,0,3,2,1,1
0.1a,-6,-1,-2,-4,-5,-5
BOT.,0,-4,-8,-11,-12,-12
