LOCATION    /    b/a,4.00,3.00,2.50,2.00,1.75,1.50,1.25,1.00,0.75,0.50
Bottom edge — midpoint,0.68,0.61,0.52,0.45,0.40,0.35,0.30,0.24,0.18,0.12
Side edge — maximum,3.74,2.61,2.10,1.45,1.30,1.00,0.78,0.58,0.40,0.26
Side edge -  midpoint,1.17,1.02,0.94,0.83,0.76,0.69,0.60,0.50,0.38,0.25
