Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,0,3,6,8,9,10
0.8a,0,6,12,16,16,19
0.7a,0,9,17,23,26,27
0.6a,0,12,22,29,33,34
0.5a,0,14,25,33,38,39
0.4a,0,15,27,35,40,42
0.3a,0,16,27,35,39,40
0.2a,0,14,24,30,33,34
0.1a,0,10,15,19,20,21
BOT.,0,0,0,0,0,0
