Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-3,5,11,15,16,16
0.8a,-6,10,22,28,31,31
0.7a,-9,15,32,40,44,44
0.6a,-11,19,40,50,54,55
0.5a,-12,22,46,56,60,61
0.4a,-13,24,48,58,62,63
0.3a,-12,25,46,54,58,58
0.2a,-10,22,38,44,47,47
0.1a,-6,15,23,27,28,28
BOT.,0,0,0,0,0,0
