My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,-334,-96,20,74,96,102
0.9a,-325,-88,19,68,88,93
0.8a,-269,-79,17,61,78,82
0.7a,-224,-68,15,52,66,70
0.6a,-182,-45,12,42,53,56
0.5a,-142,-44,9,31,38,39
0.4a,-102,-32,4,18,21,22
0.3a,-64,-22,-2,4,3,3
0.2a,-29,-14,-9,-12,-16,-17
0.1a,-5,-9,-18,-28,-35,-37
BOT.,0,-9,-28,-44,-54,-57
