Along Midheight (y = a/2),,,,,,
b/a    /    x  ,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
4.0,0,10.50,29.40,46.30,57.40,61.30
3.0,0,1.50,13.00,21.00,26.40,28.30
2.5,0,2.60,7.70,12.50,15.80,16.90
2.0,0,1.30,3.90,6.50,8.20,8.80
1.75,0,0.90,2.60,4.30,5.50,5.90
1.5,0,0.50,1.60,2.70,3.50,3.70
1.25,0,0.30,0.90,1.50,2.00,2.10
1.0,0,0.10,0.40,0.70,1.00,1.00
0.75,0,0.10,0.20,0.30,0.30,0.40
0.5,0,0.00,0.00,0.10,0.10,0.10
