LOCATION    /    b/a,4.00,3.00,2.50,2.00,1.75,1.50,1.25,1.00,0.75,0.50
Bottom edge — midpoint,0.62,0.62,0.63,0.62,0.61,0.58,0.53,0.45,0.34,0.22
Side edge — maximum,0.55,0.56,0.56,0.56,0.56,0.56,0.53,0.48,0.39,0.26
Side edge -  midpoint,0.53,0.54,0.54,0.54,0.54,0.54,0.52,0.47,0.38,0.26
Top edge — midpoint,0.39,0.39,0.40,0.40,0.40,0.40,0.35,0.32,0.25,0.18
