Mxy,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,13,12,10,7,4,0
0.9a,11,11,9,6,3,0
0.8a,8,7,6,5,2,0
0.7a,5,5,4,3,2,0
0.6a,2,2,2,1,1,0
0.5a,0,0,0,0,0,0
0.4a,2,2,2,1,1,0
0.3a,5,5,4,3,2,0
0.2a,8,7,6,5,2,0
0.1a,11,11,9,6,3,0
BOT.,13,12,10,7,4,0
