My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-16,0,4,5,4,4
0.8a,-32,0,8,9,8,8
0.7a,-45,0,11,13,12,11
0.6a,-56,0,14,15,14,14
0.5a,-62,1,16,17,16,15
0.4a,-64,2,16,17,16,16
0.3a,-59,3,15,16,15,14
0.2a,-48,4,12,12,12,11
0.1a,-28,3,7,7,7,7
BOT.,0,0,0,0,0,0
