Mx,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-7,7,18,24,27,28
0.8a,-12,10,28,40,46,48
0.7a,-15,10,33,48,56,58
0.6a,-16,10,34,50,58,61
0.5a,-16,9,31,45,53,55
0.4a,-14,7,24,35,40,42
0.3a,-10,4,12,17,18,19
0.2a,-6,-2,-5,-10,-13,-14
0.1a,-2,-13,-32,-47,-55,-58
BOT.,0,-29,-70,-97,-111,-115
