My,END,0.1b / 0.9b,0.2b / 0.8b,0.3b / 0.7b,0.4b / 0.6b,0.5b
TOP,0,0,0,0,0,0
0.9a,-20,-6,1,5,8,8
0.8a,-33,-12,1,9,13,15
0.7a,-40,-16,0,11,17,19
0.6a,-44,-18,0,12,19,21
0.5a,-45,-19,0,12,19,22
0.4a,-44,-18,0,12,19,21
0.3a,-40,-16,0,11,17,19
0.2a,-33,-12,1,9,13,15
0.1a,-20,-6,1,5,8,8
BOT.,0,0,0,0,0,0
